date,tweet_text,hashtags,tweet_url,likes,retweets,categories
16-11-07,Just landed in North Carolina- heading to the J.S. Dorton Arena. See you all soon! Lets #MakeAmericaGreatAgain! https://t.co/EUo0keWX1Y,MakeAmericaGreatAgain,https://twitter.com/realDonaldTrump/status/795709959245856768,40708,14726,"Me, Myself and I"
16-11-07,"Starting tomorrow its going to be #AmericaFirst! Thank you for a great morning Sarasota, Florida!
Watch here:_ https://t.co/ig62Kjkkvl",AmericaFirst,https://twitter.com/realDonaldTrump/status/795674761309417472,35905,14092,MAGA
16-11-07,Thank you for you support Virginia! In ONE DAY - get out and #VoteTrumpPence16! #ICYMI: https://t.co/Nid8qcFTwY https://t.co/WOsEcjM8sm,VoteTrumpPence16;ICYMI,https://twitter.com/realDonaldTrump/status/795515037632921601,33492,12663,Presidential Elections
16-11-07,Hey Missouri lets defeat Crooked Hillary &amp; @koster4missouri! Koster supports Obamacare &amp; amnesty! Vote outsider Navy SEAL @EricGreitens!,,https://twitter.com/realDonaldTrump/status/795753162623815680,36401,12556,Obamacare
16-11-07,"I love you North Carolina- thank you for your amazing support! Get out and https://t.co/HfihPERFgZ tomorrow!
Watch:_ https://t.co/jZzfqUZNYh",,https://twitter.com/realDonaldTrump/status/795733366842806272,30479,10867,Presidential Elections
16-11-07,LIVE on #Periscope: Join me for a few minutes in Pennsylvania. Get out &amp; VOTE tomorrow. LETS #MAGA!! https://t.co/Ej0LmMK3YU,Periscope;MAGA,https://twitter.com/realDonaldTrump/status/795770006306861057,30569,10133,"Me, Myself and I"
16-11-07,"What I Like About Trump ... and Why You Need to Vote for Him
https://t.co/6rVuDUehZq",,https://twitter.com/realDonaldTrump/status/795741423756840960,23403,9633,"Me, Myself and I"
16-11-07,On my way! https://t.co/6L2ILD6r8h,,https://twitter.com/realDonaldTrump/status/795710386855088129,26062,8448,"Me, Myself and I"
16-11-07,Why Trump https://t.co/RpwIYB7aOV,,https://twitter.com/realDonaldTrump/status/795740720388866048,17547,7240,"Me, Myself and I"
16-11-08,TODAY WE MAKE AMERICA GREAT AGAIN!,,https://twitter.com/realDonaldTrump/status/795954831718498305,571069,352603,MAGA
16-11-08,"Dont let up, keep getting out to vote - this election is FAR FROM OVER! We are doing well but there is much time left. GO FLORIDA!",,https://twitter.com/realDonaldTrump/status/796102830352465921,116282,36745,Presidential Elections
16-11-08,VOTE TODAY! Go to https://t.co/MXrAxYnTjY to find your polling location. We are going to Make America Great Again!_ https://t.co/KPQ5EY9VwQ,,https://twitter.com/realDonaldTrump/status/796029413318082560,67787,29756,Presidential Elections
16-11-08,#ElectionDay https://t.co/MXrAxYnTjY https://t.co/FZhOncih21,ElectionDay,https://twitter.com/realDonaldTrump/status/796055597594578944,59198,25424,Presidential Elections
16-11-08,"Still time to #VoteTrump!
#iVoted #ElectionNight https://t.co/UZtYAY1Ba6",VoteTrump;iVoted;ElectionNight,https://twitter.com/realDonaldTrump/status/796126077647196160,63750,25301,Presidential Elections
16-11-08,I will be watching the election results from Trump Tower in Manhattan with my family and friends. Very exciting!,,https://twitter.com/realDonaldTrump/status/796099494442057728,125086,25185,Presidential Elections
16-11-08,We need your vote. Go to the POLLS! Lets continue this MOVEMENT! Find your poll location: https://t.co/VMUdvi1tx1_ https://t.co/zGOx74Ebhw,,https://twitter.com/realDonaldTrump/status/796050609254395905,61010,24310,Presidential Elections
16-11-08,"Just out according to @CNN: ""Utah officials report voting machine problems across entire country""",,https://twitter.com/realDonaldTrump/status/796102093727793152,46376,21910,Presidential Elections
16-11-08,RT @EricTrump: Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! Please #VOTE for America! https:_,MakeAmericaGreatAgain;VOTE,https://twitter.com/realDonaldTrump/status/796130340180029441,63868,19710,MAGA
16-11-08,Today we are going to win the great state of MICHIGAN and we are going to WIN back the White House! Thank you MI!_ https://t.co/onRpEvzHrW,,https://twitter.com/realDonaldTrump/status/795879172795203584,53730,17517,Presidential Elections
16-11-08,"Today in Florida, I pledged to stand with the people of Cuba and Venezuela in their fight against oppression- cont: https://t.co/8eELqk2wUw",,https://twitter.com/realDonaldTrump/status/795781945607278592,36041,13838,World News
16-11-08,Big news to share in New Hampshire tonight! Polls looking great! See you soon.,,https://twitter.com/realDonaldTrump/status/795782371895349250,43939,13453,Presidential Elections
16-11-08,RT @DonaldJTrumpJr: FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! #MAGA #ElectionDay ht_,MAGA;ElectionDay,https://twitter.com/realDonaldTrump/status/796130213826621440,50811,11287,"Me, Myself and I"
16-11-08,"RT @DonaldJTrumpJr: Thanks New Hampshire!!!
#NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk",NH;NewHampshire;MAGA,https://twitter.com/realDonaldTrump/status/795845594032013312,37954,10591,MAGA
